,local_surrogate,representation,Sex,Age,Nationality,Highest_education_level_completed,Ethnicity_simplified,QT.1,QT.2,QT.3,QT.4,trust,Duration_in_seconds,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,understanding,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,satisfaction,b_precision_understanding,b_recall_understanding,b_top_understanding,b_trust,b_ord_trust,increased_trust_after_xai,perceived_trust_in_xai,perceived_understanding_in_xai,time,domain
0,3,2,Female,28,United Kingdom,2,White,5,6,6,6,5.75,379.0,5,5,5,5,4,5,5,5,4.875,4,4,4,4,2,5,4,4,3.875,0.5555555555555555,0.7305555555555555,1.0,0.0,0.0,1.0,4.75,4.0,19.63575,Compas
1,3,2,Female,31,South Africa,1,White,6,6,5,5,5.5,480.0,4,3,4,4,4,4,4,4,3.875,4,4,4,5,4,2,4,3,3.75,0.4666666666666667,0.8416666666666667,1.0,1.0,0.75,0.25,4.0,4.0,27.79225,Compas
2,3,2,Male,20,Portugal,0,White,5,6,6,6,5.75,460.0,4,4,4,4,4,4,3,4,3.875,5,4,5,5,4,3,4,4,4.25,0.5833333333333333,0.2944444444444444,0.5833333333333333,0.0,0.0,-0.25,4.5,4.5,25.275,Compas
3,3,2,Female,22,South Africa,0,Black,7,7,5,7,6.5,529.0,4,4,4,4,5,5,5,5,4.5,4,5,5,5,5,4,4,4,4.5,0.3636904761904762,0.7611111111111111,0.75,1.0,0.25,0.0,5.0,5.0,31.63625,Compas
4,3,2,Female,26,Estonia,2,White,5,6,5,5,5.25,633.0,4,3,2,4,4,5,4,5,3.875,5,5,4,4,5,3,4,3,4.125,0.5416666666666666,0.825,1.0,1.0,0.25,0.75,4.75,4.75,38.40225,Compas
5,3,2,Female,24,Portugal,2,White,5,5,3,4,4.25,662.0,2,2,3,4,2,4,3,4,3.0,4,3,2,2,1,3,2,4,2.625,0.5416666666666666,0.7138888888888888,1.0,0.25,0.25,0.0,3.0,3.75,23.0685,Compas
6,3,2,Female,39,Poland,3,White,6,6,5,6,5.75,732.0,5,4,4,5,4,4,5,4,4.375,4,5,5,5,5,4,5,4,4.625,0.5666666666666667,0.7972222222222223,1.0,0.0,0.0,0.0,4.75,4.75,19.311249999999998,Compas
7,3,2,Female,34,South Africa,2,Black,7,6,7,7,6.75,837.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5.0,0.49999999999999994,0.6583333333333333,0.9166666666666666,1.0,0.25,0.0,5.0,5.0,49.861000000000004,Compas
8,3,2,Female,28,Latvia,2,White,5,6,6,6,5.75,895.0,4,4,3,5,4,5,5,5,4.375,5,5,4,3,5,4,4,4,4.25,0.5277777777777777,0.5444444444444444,0.8333333333333333,0.5,0.25,1.0,4.25,4.75,39.544,Compas
9,3,2,Male,60,United Kingdom,0,White,5,4,5,5,4.75,901.0,3,3,4,4,4,4,4,4,3.75,3,3,2,2,3,3,2,2,2.5,0.5555555555555555,0.7416666666666666,1.0,0.5,0.25,0.0,3.75,4.0,65.209,Compas
10,3,2,Female,23,South Africa,2,Black,4,5,4,4,4.25,863.0,3,4,3,4,3,4,4,4,3.625,4,3,4,4,3,3,4,4,3.625,0.3333333333333333,0.33888888888888885,0.25,0.3333333333333333,0.25,-0.25,3.25,3.0,41.4945,Compas
11,3,2,Female,29,Zimbabwe,3,Black,5,6,5,6,5.5,937.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,4,5,4.875,0.3486111111111111,0.5666666666666667,0.6666666666666666,,0.0,0.0,4.75,5.0,49.45525,Compas
12,3,2,Male,24,United Kingdom,2,White,5,6,4,5,5.0,1301.0,4,4,5,4,5,5,5,5,4.625,5,5,5,4,3,4,4,3,4.125,0.4583333333333333,0.8694444444444445,1.0,0.3333333333333333,0.25,0.5,4.25,5.0,23.198500000000003,Compas
13,3,2,Female,28,South Africa,2,Black,3,2,3,4,3.0,2140.0,3,4,3,2,2,3,3,2,2.75,2,2,2,3,2,3,3,3,2.5,0.3333333333333333,0.12777777777777777,0.16666666666666666,0.75,0.75,-0.75,3.25,3.0,96.72725,Compas
14,3,2,Male,36,Vietnam,3,Asian,3,4,4,4,3.75,679.0,3,3,3,4,2,2,2,2,2.625,2,2,2,2,1,3,1,1,1.75,0.3055555555555555,0.3277777777777778,0.41666666666666663,0.5,0.25,0.0,3.0,3.0,35.685,Compas
15,3,2,Female,24,Italy,0,White,4,5,5,5,4.75,322.0,4,4,3,3,4,3,3,4,3.5,5,5,5,5,3,3,3,3,4.0,0.2777777777777778,0.3555555555555555,0.6666666666666666,1.0,0.75,0.0,3.75,4.0,19.52275,Compas
16,3,2,Male,19,Greece,0,White,5,5,4,5,4.75,536.0,3,4,1,3,2,4,4,5,3.25,4,4,3,3,3,4,2,2,3.125,0.38333333333333336,0.8,0.75,0.3333333333333333,0.5,0.25,3.25,3.0,34.22475,Compas
17,3,2,Male,26,Portugal,2,White,5,7,5,7,6.0,730.0,5,5,4,5,5,5,5,5,4.875,5,5,4,4,5,5,5,5,4.75,0.29166666666666663,0.3555555555555555,0.5,0.0,0.25,0.75,3.5,5.0,38.0315,Compas
18,3,2,Male,22,Poland,0,White,6,5,6,6,5.75,716.0,5,5,4,5,4,5,5,5,4.75,5,5,5,4,5,4,4,4,4.5,0.41111111111111104,0.9027777777777778,1.0,1.0,0.25,0.75,4.5,4.5,41.38275,Compas
19,2,1,Male,22,Poland,0,White,6,5,6,7,6.0,551.0,4,5,5,4,5,5,4,5,4.625,5,5,5,5,5,5,5,5,5.0,0.31666666666666665,1.0,1.0,0.0,0.0,0.0,4.25,4.5,33.77425,Compas
20,3,2,Female,35,South Africa,1,Black,5,5,5,5,5.0,1597.0,4,4,4,5,5,5,5,5,4.625,4,4,4,4,4,4,3,4,3.875,0.4305555555555555,0.763888888888889,0.75,0.6666666666666666,0.75,0.25,4.75,4.25,66.8975,Compas
21,2,0,Male,23,Portugal,3,White,6,7,6,6,6.25,499.0,4,4,1,2,4,4,2,5,3.25,5,5,4,5,3,4,3,4,4.125,0.875,0.875,1.0,,-0.25,0.25,4.25,5.0,30.219250000000002,Compas
22,2,0,Male,22,Poland,0,Other,1,5,1,1,2.0,507.0,1,1,1,1,4,4,1,4,2.125,4,4,3,3,4,1,1,1,2.625,0.47916666666666663,0.75,1.0,0.3333333333333333,0.25,0.25,1.0,4.0,27.746499999999997,Compas
23,2,0,Male,52,Finland,0,White,5,6,3,4,4.5,626.0,2,2,2,1,4,4,4,4,2.875,4,4,2,2,4,3,4,4,3.375,1.0,0.625,1.0,0.0,0.0,0.25,4.0,4.0,35.660250000000005,Compas
24,2,0,Female,49,South Africa,1,White,6,5,5,6,5.5,584.0,4,4,5,5,4,4,5,5,4.5,4,4,4,5,5,4,4,3,4.125,0.375,0.625,0.5,0.0,0.0,0.0,3.75,4.25,47.503,Compas
25,2,0,Female,36,South Africa,1,Black,4,5,6,6,5.25,940.0,4,5,4,4,5,5,4,4,4.375,5,5,4,4,5,4,5,5,4.625,0.33333333333333337,0.875,1.0,0.0,0.0,0.0,4.25,4.25,50.552749999999996,Compas
26,2,0,Male,27,South Africa,2,Black,5,5,6,5,5.25,924.0,4,4,3,4,4,4,3,4,3.75,4,4,4,4,4,4,3,3,3.75,0.29166666666666663,0.625,1.0,0.6666666666666666,0.5,0.0,3.5,4.25,35.96,Compas
27,2,0,Male,21,South Africa,0,Black,7,4,5,4,5.0,746.0,5,5,5,5,4,4,3,4,4.375,5,5,4,3,5,5,5,3,4.375,0.25,0.125,0.0,1.0,0.5,0.0,5.0,5.0,34.73075,Compas
28,2,0,Female,31,Australia,2,Other,3,3,4,4,3.5,1004.0,3,3,2,4,4,3,3,2,3.0,3,3,4,3,3,3,3,4,3.25,0.41666666666666663,0.75,0.75,0.3333333333333333,0.5,0.5,2.25,3.25,76.937,Compas
29,2,0,Male,44,South Africa,0,White,7,7,7,7,7.0,1061.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5.0,0.7291666666666666,0.75,0.75,0.0,0.0,0.0,4.25,4.25,31.44675,Compas
